user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
Lisa Marie Meadows,United States,Author/Nurse/Actor/Instagram lisamariemeadows/⚽️🚀📙#BLM A Wave Series -Pandemic Romance https://t.co/GTz4RazT1m https://t.co/aY0YQsOBC1,2018-08-24 05:05:50,7129,7770,9465,False,2022-01-22 23:55:33,"@TheTorontoSun A New light of hope has awakened on the horizon, as the world emerges from the pandemic. Will Shelby and Simon overcome this final obstacle? What will our world look like? We will have to wait and see.-A Third Wave-The Survival. #COVID #Omicron #booktwt 
https://t.co/7AHELPzbnY https://t.co/RZ4rcP7Xcx",,Twitter Web App,False
Tracy Lin (澳喜特战旅),,,2020-03-26 11:23:10,424,118,31343,False,2022-01-22 23:55:33,"The Absurdity of Fauci’s position and reasoning

@RealPNavarro
@Miles
@GTV_UK
@GNews 

#fauci #fauciliedpeopledied #gainoffunction #ccp #bioweaponslab #wuhan #covid #covid19 #bannonswarroom  

https://t.co/5TpnGbbWBt","['fauci', 'fauciliedpeopledied']",Twitter for iPhone,False
Mike the tdoc bagholding ape,"Vancouver, British Columbia","Gorevic's Guard from Ape Planet

Powered  by Teladoc

AI+AI Deep learning Ape

Fighting for Accessible and Equitable health care",2010-04-12 05:41:03,1110,1403,5261,False,2022-01-22 23:53:52,"@denise_dewald @wsbgnl @MonicaGandhi9 been downplay covid the whole time,   other than vaccination she basically against other measure like social distancing and outdoor mask ..and she been proved wrong many time and people still interview hwr 
#covid #omicron",,Twitter for Android,False
Lisa Marie Meadows,United States,Author/Nurse/Actor/Instagram lisamariemeadows/⚽️🚀📙#BLM A Wave Series -Pandemic Romance https://t.co/GTz4RazT1m https://t.co/aY0YQsOBC1,2018-08-24 05:05:50,7129,7770,9465,False,2022-01-22 23:53:45,"@CBCOttawa A New light of hope has awakened on the horizon, as the world emerges from the pandemic. Will Shelby and Simon overcome this final obstacle? What will our world look like? We will have to wait and see.-A Third Wave-The Survival. #COVID #Omicron #booktwt 
https://t.co/7AHELPzbnY https://t.co/BmyhotpwqI",,Twitter Web App,False
Damiano Sumerano,"Los Angeles, CA",love life,2019-01-01 19:54:47,375,455,909,False,2022-01-22 23:53:01,What’s been your favourite thing about the COVID-19 pandemic? #Covid,['Covid'],Twitter for Android,False
Gloria99,,,2015-10-04 02:10:55,10,56,11,False,2022-01-22 23:52:42,Schools can expect a year of disruption: Seven ways to support the well-being of students and staff https://t.co/FGQaQDRxgg via @physorg_com #covid #school #support,,Twitter Web App,False
canadiansumac,"Ontario, Canada",Politics and Media coverage  if RT not necessarily endorsement but may just be a different or interesting viewpoint,2013-02-09 12:41:23,500,1754,26455,False,2022-01-22 23:52:36,"| Toronto Sun Our mediocre hospital &amp; #ICU capacity existed before &amp; during ⁦@fordnation⁩ ‘s government elected in 2018 . Too few doctors &amp; nurses , too few beds but a lot of bureaucracy was a recipe for disaster. #onpoli #cdnpoli #Covid https://t.co/ds4q06pazG",['ICU'],Twitter for iPad,False
Chad A. Martin,,"Christian, Husband to Beautiful Wife, Father of Four wonderful kids, Professional Natural Bodybuilder (PNBA), and Hall of Famer (INBA) - IG: chadmartinHOF",2013-10-22 21:35:03,516,690,22564,False,2022-01-22 23:52:12,https://t.co/31hCpS6aLM - Remember when #sotomayor said 100k kids and #covid I guess this #lefty was right all along. #Identity #Politics don't work.,"['sotomayor', 'covid', 'lefty']",Twitter for Android,False
ron white,UK EU ,"Dual NZ-UK citizen. Backs All Blacks & whistle blowers, retweets what is well put or pointed, tho doesn’t mean always agree or condone!",2009-04-28 13:24:39,740,1271,26652,False,2022-01-22 23:52:09,#Covid ain’t over yet! https://t.co/Ddma4jyezE,['Covid'],Twitter for iPad,False
Professor BTC,🇺🇸,"Fix the money, fix the world. #Bitcoin. ⚡️. Speculator. Investor. Former Banker. Opinions are my own. Likes are not always endorsements. 🟨⬛️",2020-01-31 06:06:12,1403,2423,28278,False,2022-01-22 23:52:07,"You’re sorely mislead if you still falsely believe mandatory #school masking has provided a net benefit to children and teachers.

It’s simple, @AFTWV is wrong on this topic.

Data? See the 🧵. Stop punishing kids to provide a false sense of security to adults.👇

#covid #covid19 https://t.co/cPvsO5ZMRB",['school'],Twitter for iPhone,False
Murcia,,,2021-08-26 21:01:32,3,41,73,False,2022-01-22 23:51:50,"Ever since I got the #Pfizer #Mrna vaccine for #Covid, I feel like rigor mortise is setting in, while I’m still alive. Anyone else super stiff muscles and foot pain after getting the #Pfizer #jab?","['Pfizer', 'Mrna', 'Covid']",Twitter for iPhone,False
Maggie 🌬🌩,"California, USA",• mommy • spinster • gypsy • minnesota native • silicon valley • la •,2017-10-12 08:47:24,831,209,104859,False,2022-01-22 23:51:48,My review of the #titanmask #covid #AntimicrobialResistance #waterresistant https://t.co/x6Bw9VhL3p,"['titanmask', 'covid', 'AntimicrobialResistance', 'waterresistant']",Twitter for iPhone,False
Lisa Marie Meadows,United States,Author/Nurse/Actor/Instagram lisamariemeadows/⚽️🚀📙#BLM A Wave Series -Pandemic Romance https://t.co/GTz4RazT1m https://t.co/aY0YQsOBC1,2018-08-24 05:05:50,7129,7770,9465,False,2022-01-22 23:51:46,"@CTVNews A New light of hope has awakened on the horizon, as the world emerges from the pandemic. Will Shelby and Simon overcome this final obstacle? What will our world look like? We will have to wait and see.-A Third Wave-The Survival. #COVID #Omicron #booktwt 
https://t.co/7AHELPzbnY https://t.co/UnfL3UQcmw",,Twitter Web App,False
Forgotten Families,,We are campaigning to get blended/online learning for children of Very High Risk parents and family members who cannot attend school during the Covid19 Pandemic,2021-04-29 17:01:18,333,907,2401,False,2022-01-22 23:51:19,"@JanRynne tells @radiodeclan
What lifting restrictions with high levels of #COVID  means for the immunocompromised.

https://t.co/icxNDZenhn",['COVID'],Twitter for Android,False
Rachel,,Save all the babies. Protect all. Jesus loves you.,2021-09-25 01:31:16,139,524,6485,False,2022-01-22 23:51:03,"@JanRynne tells @radiodeclan
What lifting restrictions with high levels of #COVID  means for the immunocompromised.

https://t.co/icxNDZenhn","['vaccineskillKids', 'vaccinesKill', 'vaccineWorship']",Twitter for iPhone,False
Susan Stone-Salas,New Mexico,"https://t.co/ApuyeL8JRP Artist, poet, musician, singer song writer.
I love horses and Rock and Roll. 
 #BlackLivesMatter #GreenNewDeal
#WearAMask #GetVaccinated",2021-05-15 18:37:50,672,834,6502,False,2022-01-22 23:50:56,"@chaecliff Under other circumstances I say ""Congrats!"" We're in the middle of a pandemic and nurses are in my opinion being taken advantage of. They never signed up to be soldiers, but there they are selflessly fighting in the front lines.

 #COVID",,Twitter Web App,False
Juli3,Australia,"A worn out nurse - trying but I never get there, Health is run by Finance, hate tick boxes, don’t quantify people & health, just EMPATHY Darkinjung Country",2011-06-23 09:03:31,1366,4405,4677,False,2022-01-22 23:50:37,Today's COVID blog so casual teachers won’t be paid sick leave if they contract #COVID? Casual nurses don’t get sick leave if they contract #COVID ⁦@nswnma⁩ ⁦@nswteachers⁩ ⁦@NSWHealth⁩  https://t.co/PNG1WCgQKI,['COVID'],Twitter for iPhone,False
Sue Strong #StandWithUkraine 🇺🇦,"Gilbert, AZ","#HearHim, #ChurchOfJesusChrist, #LightTheWorld, #StandUpRepublic, #BeKind, #Cats, TSB, not here for dating/will block",2012-03-09 06:36:05,1482,3738,72529,False,2022-01-22 23:50:29,We’ll find out in November in AZ whether we elect a #COVID denier or one that will enact mitigation strategies 🤷🏼‍♀️ https://t.co/dxXBeKjax3,['COVID'],Twitter for iPad,False
🇦🇺 Northern Territory THR Consumers,Australia,"Mums, Dads, Grandparents must be permitted to switch to safer than smoking products. Promoting smoke free lives.",2019-03-14 16:45:56,2309,1871,39598,False,2022-01-22 23:50:16,"Why after listening to @abcnews this morning from the #NSW political health system talking heads about the make #COVID great again strategy makes me feel that it is not and will not end well?

#PublicHealth or #PoliticalHealth?",['NSW'],Twitter for Android,False
Anne-Marie Picard,"Paris, France","🇫🇷🇨🇦🇪🇺
Enseignante-chercheur @AUParis - Global French Studies - 🍀👩‍🎓👩‍🏫
Latest publications: https://t.co/4GbnT0JmrX - https://t.co/Nbx6ymkRBz",2016-01-07 14:44:26,1578,2995,46980,False,2022-01-22 23:50:07,"@thedailybeast #VaccinateYourChildren
""Branson was suffering from MIS-C (cronym for multisystem inflammatory syndrome in children): the condition is a delayed inflammatory response to #COVID that can come as if from nowhere weeks or even months after an infection even an asymptomatic one"".",['VaccinateYourChildren'],Twitter for Android,False
Dr Joseph McCollom DO,Fort Wayne IN,"#FosterCare alum, #GIonc, #pallonc, and #survonc doc @ParkviewHealth. #supponc #hpm #hapc  Tweets are own. ✨#GI22 Featured Voice FCOI: https://t.co/Z2OwVevoc5✨",2019-09-07 20:54:29,1473,1370,13333,False,2022-01-22 23:49:30,"The #COVID pandemic has shattered community. 
And created uncertainty in us all. #burnout is nearer than we admit. 
This was the constant state of #FosterCare
Illustrated beautifully by @NathanAGray, a dedicated physician and advocate 3/6 https://t.co/siRGdlNZZN","['COVID', 'burnout']",Twitter Web App,False
Rashid Ferrod Davis,,"Founding Principal of P-TECH, Cahn Fellow 2012, 1st Fordham University-GSE Lifetime Achievement Award Recipient, Morehouse College Alum",2009-04-19 16:14:54,2456,1288,18684,False,2022-01-22 23:48:56,3 Lady Eagles After Winning 4x200 Took 2nd In The 1600SMR @newbalance Games today @ArmoryNYC @MileSplitNY #SaturdayMorning #COVID19 #covid @NYCSchools @PSALSports LET'S GO EAGLES @DOEChancellor @NYCMayor @milesplit @AthleticdotNet https://t.co/xcf2tHx4f9,,Twitter Web App,False
CIUDADANO DOE,Instagram: ciudadano_doe ,#YONOMEVACUNO. Nacido para denunciar el maquiavélico plan globalista con la #Agenda2030. TELEGRAM https://t.co/JvaVYCzDa9,2020-04-15 15:46:15,7467,8164,55149,False,2022-01-22 23:48:45,@Resist_05 The best wishes from Spain. Stop the #Australian dictatorship! #Australia #Plandemy #covid,"['Australian', 'Australia', 'Plandemy', 'covid']",Twitter for iPhone,False
Mystryl🎛️,"US, UK, NL, DE, FR, BE, ES",ARTIST,2020-12-09 22:12:16,24,0,658,False,2022-01-22 23:48:29,"Covid and the sense of purposelessness, and losing sense of time, explained: https://t.co/UU0sEAPzYV
#covid #COVID19 #lockdown #vaccination #mentalhealth",['covid'],Twitter Web App,False
TheTruth,,No one is more hated than he who speaks the truth...The way to see by faith is to shut the eye of reason...,2020-03-28 19:04:34,49,687,499,False,2022-01-22 23:48:05,@ChantelGurley @DrTomFrieden Could be your kid has high levels of #potassium! Instead of blaming everything on #covid check that out! It's amazing years of #Medical research &amp; studies on health is thrown out the window &amp; everything now is blamed on covid! #USA #Health #COVID19 #COVIDIOTS #CovidVaccine #Truth,['potassium'],Twitter for Android,False
Bill Gates,,Can A Bird Fly With Only A Right Wing?!,2010-05-27 00:36:36,924,756,176,False,2022-01-22 23:48:05,#WI State Assembly Leader #Vos on safe #COVID-19 WI election ... perspectives #CoronaVirus #Pandemic https://t.co/PTVSuzJGcQ,"['WI', 'Vos', 'COVID', 'CoronaVirus', 'Pandemic']",Twitter Web App,False
Ita O'Kelly,"Dublin, Ireland",Journalist/Essayist : Alumnus @UCDDublin : University College Dublin : Ireland.,2010-11-30 12:33:31,9901,6496,89309,False,2022-01-22 23:47:46,"Media outlets have had their main story for the last *two years* #Covid wiped from the news cycle.
What now?
Cue pix of creamy pints instead.
Very profound…
#covidrestrictions",['Covid'],Twitter for iPhone,False
Neptune78,"Iowa, USA","#PragerU is mind poison. #FoxNews, #PragerU, #ChristianNationalism, #ChristianRight are #CancelCulture",2010-03-25 13:12:05,1141,1023,27497,False,2022-01-22 23:47:37,This woman is despicable. #Iowa #CovidKim #Coronavirus #COVID #Republicans https://t.co/Cl5fqnvQQj,"['Iowa', 'CovidKim', 'Coronavirus', 'COVID', 'Republicans']",Twitter Web App,False
Tomthunkit™,In Your Mind Now,Tomthunkit's Mind Diner is open 24/7. All-you-can-eat smorgasbord of hand-picked deliciously sweet tweets for your political palate. Invest ($) in your future,2011-04-28 01:56:15,89871,71545,29855,False,2022-01-22 23:47:14,"WATCH &amp; SHARE THIS WITH PEOPLE YOU CARE ABOUT 
Booster vs. “natural immunity” 
#COVID
https://t.co/iJ8X1yuv8Y 05",['COVID'],The Social Jukebox,False
Amanda Ralph,Australia,Interested in diverse range of subjects including advocating for better public transport services and infrastructure. Views are my own.,2009-03-29 10:57:16,827,894,19597,False,2022-01-22 23:47:11,How is it that almost every supply chain globally has been impacted by #covid but 90 tonnes of military supplies can be delivered quickly to #ukraine?,['covid'],Twitter for iPhone,False
Stoddard Whitridge,"Onset, MA",,2008-02-04 18:32:05,97,266,23,False,2022-01-22 23:47:05,"It’s kinda funny that people are boycotting Carhartt for requiring their employees to be vaccinated or test negative, but not Fox News that has the same exact requirement. #Carhartt #FoxNews #hypocrisy #covid #vaccine",,Twitter for iPhone,False
M.J. Bavis,UK,Writer of YA contemporary/urban fantasy. 📚Keen reader. Sometimes a dreamer. Netflix addict. Superhero fanatic. Born in 🇫🇮Living in 🇬🇧,2019-01-12 00:27:00,1102,988,2995,False,2022-01-22 23:46:51,"Two. Red. Lines.

You got me, #COVID.

#Covid_19 #CoronaPositive #Quarantine #MeAndTheRestOfTheWorld https://t.co/MPfqfPBG6w","['COVID', 'Covid_19', 'CoronaPositive', 'Quarantine', 'MeAndTheRestOfTheWorld']",Twitter for iPhone,False
Gate 15,United States of America,"Risk Management: Info / Threat Analysis, Operations, Preparedness & Critical Infrastructure Security & Resilience https://t.co/vrCkP4dQVt",2014-05-05 18:01:42,2100,2823,16250,False,2022-01-22 23:45:53,Thousands of protestors arriving in DC ahead of anti-vaccine mandate rally https://t.co/k44Hnk6lWG via @WUSA9 #COVID,['COVID'],Twitter Web App,False
Fork Candles,"Sechelt, BC, Canada",witty blurb,2010-03-03 16:40:53,198,448,44914,False,2022-01-22 23:45:48,"Anti-vaxxers don't know what chemicals are #COVIDIOTS #covid #covidchemicals #vaccinechemicals #Meatloaf
#getvaccinated #covidlies https://t.co/MOCZrIZ8Ro","['COVIDIOTS', 'covid', 'covidchemicals', 'vaccinechemicals', 'Meatloaf']",Twitter for Android,False
Trenchcoat,Under the Canberra bubble.,Axolotl questions.,2021-02-01 01:52:44,47,196,254,False,2022-01-22 23:45:28,"@davidbewart This was so long ago now that few remember the terrible ""we can't drink and drive! Isn't that unoztraylian?"" furore.

The point to all this is; those who don't believe that #Covid is real, or that vaccination is for the weak just remember, the sensible will stay home.

#auspol",,Twitter for Android,False
Wicked Prepping,,"All Things #Prepper #Prepping #Preparedness
Providing Global Situational Awareness & Analysis
So You can Mitigate Your Risk!
Visit Us: https://t.co/kQ1GMs1HQV",2020-03-30 11:58:38,1071,373,368,False,2022-01-22 23:45:01,"Mandatory Vaccinations...
           or Just Coercive Manipulation?

😱Green Zones Coming to a Town Near You!

---&gt; https://t.co/GQxOqL2aSg 

#Vaccine #Vaccinations #WEF #NWO #COVID19 #COVID #coronavirus #prepper #prepping",,Hootsuite Inc.,False
Ashwani🌱Garg 🇺🇸 ☯禅☸️ 🌏☮️🇮🇳,"Chicago, IL",#lifestylemedicine #plantbased #vegan #mindfulness #straightedge #Zen #禅 #meded #GiftedEd|Tweets≠med advice|Tweets my own|RT≠endorsement|Some tweets parody,2009-05-29 13:08:01,8240,8248,136017,False,2022-01-22 23:44:49,"US faces wave of #COVID deaths due to omicron in coming weeks, models say https://t.co/pqhoz3LwQB",['COVID'],Twitter Web App,False
Good of pop culture,México,"chismecitos, noticias geek y sobre todo mi humilde opinión 🐍 Follow me ;) #FREEKESHA",2021-10-05 14:13:45,33,162,294,False,2022-01-22 23:44:21,She is so nice and she really cares about his fans I hope she stays safe and people understands that she already feels bad and is not her fault we don't deserve her #Adele30 #AdeleVegas #COVID https://t.co/vvXShXDlhh,,Twitter for iPhone,False
Rah42 -Participant - Dubas’s Farewell Tour 2021-22,Trudeau’s Communist Canada,Everything here isn’t word of God lol !!! 🏒 🏀 ⚾️ 🏏 Tired of Covid BS & Dubas. Wearing graphic 👕 or a Tape won’t solve racism/covid/climate?!!! #LeafsForever,2012-03-10 02:55:33,593,1515,157480,False,2022-01-22 23:44:14,Kelly Hrudey has a “theory” that the #LeafsForever are giving up leads due to respiratory problems from #covid 😂👏🏽👏🏽👏🏽👏🏽. Never seizes to amaze me how bad @hockeynight panel is. @SportsnetPR #TeamSoft https://t.co/P8gRecJq7p,"['LeafsForever', 'covid']",Twitter for iPhone,False
splash,"Miami Beach, FL",My thoughts and doesn't matter if you like them or not. Although my ego appreciate the likes. You are probably wrong about a lot - https://t.co/J4vsFlAmv0,2009-03-01 16:22:12,92,195,9856,False,2022-01-22 23:44:05,"#Covid-19 #vaccines and #treatments: we must have raw data, now | The BMJ ⁦@bmj_latest⁩  https://t.co/AQgNk888w0","['Covid', 'vaccines', 'treatments']",Twitter for iPhone,False
Lisa Marie Meadows,United States,Author/Nurse/Actor/Instagram lisamariemeadows/⚽️🚀📙#BLM A Wave Series -Pandemic Romance https://t.co/GTz4RazT1m https://t.co/aY0YQsOBC1,2018-08-24 05:05:50,7129,7770,9465,False,2022-01-22 23:43:35,"@ottawasuncom A New light of hope has awakened on the horizon, as the world emerges from the pandemic. Will Shelby and Simon overcome this final obstacle? What will our world look like? We will have to wait and see.-A Third Wave-The Survival. #COVID #Omicron #booktwt 
https://t.co/7AHELPzbnY https://t.co/N8BTyViZUS",,Twitter Web App,False
Steppin' Out Radio,,Steppin' Out Radio is a reality radio show featuring real people sharing their true stories of substance abuse & recovery from all addictions.,2011-03-08 05:03:42,629,719,221,False,2022-01-22 23:43:20,"Lauren had a taste of beer at age six or seven at a July 4th party with family and a friends. She admits to being a curious girl, and even at that young age the alcohol felt good. But by https://t.co/ZiAvr7JyDs #soberaf #recoveryposse #covid #odaat",,Revive Social App,False
Tomthunkit™,In Your Mind Now,Tomthunkit's Mind Diner is open 24/7. All-you-can-eat smorgasbord of hand-picked deliciously sweet tweets for your political palate. Invest ($) in your future,2011-04-28 01:56:15,89871,71545,29855,False,2022-01-22 23:43:16,"WATCH &amp; SHARE THIS WITH PEOPLE YOU CARE ABOUT 
Booster vs. “natural immunity” 
#COVID
https://t.co/iJ8X1yuv8Y 10",['COVID'],The Social Jukebox,False
IamTHAL,"No place, really.","Supporting science, the rule of law, community policing, good LEOs, & accountability. Extremism is never the answer. #Vote 4 change.",2015-10-01 00:31:56,431,2237,75189,False,2022-01-22 23:42:39,"“As the number of cases increased globally, it was recognized that SARS-CoV-2 not only induces respiratory symptoms but also can affect multiple organ systems, including the kidneys, gastrointestinal tract, heart, and brain.”

#COVID-19  https://t.co/Drg9ZMCP6Z",,Twitter for iPhone,False
John Le Fevre 🇦🇺 😷 🇹🇭🇰🇭,Thailand,"Former Thailand, GMS, & managing editor @ https://t.co/JAZM4IdUwg photo-journalist, Walkley Award finalist. Not politically correct. See https://t.co/NzBYiJ2nl0.",2008-11-05 06:17:31,7757,5258,20100,False,2022-01-22 23:42:38,"#NZ PM cancels own wedding due to limitations imposed by #COVID control measures 

#Leadership #Win #jacindaardern 
#BorisMustGo #VoteLNPLast #auspol https://t.co/wFQjlVmeXF","['NZ', 'COVID', 'Leadership', 'Win', 'jacindaardern']",TweetDeck,False
David Aaron,"LA, CA",Just a down-on-her-luck stripper with a heart of gold!,2010-06-16 18:55:03,386,864,11120,False,2022-01-22 23:42:19,I’m not sure what I’m more afraid of…catching #covid OR that my ears may stay deformed after these damn masks come off!! #help #pandemicears https://t.co/tgI2pfqouk,['covid'],Instagram,False
Doped by Murdoch,,It says in the murdoch propaganda media that there is a THEM (they're bad) & WE must hate THEM ... while the rich lower our wages & conditions ...,2013-09-07 19:25:46,1081,911,36059,False,2022-01-22 23:41:57,@MarleneASarroff Labor Ministers are chosen because of their expertise in their portfolios. LNP ministers are chosen because they can lie straight faced and bully the public servants in their portfolio. Am I right? #auspol #LNP #covid #CallTheElectionDickhead,,Twitter Web App,False
Gosia 🇵🇱🇬🇧💙♥️💉💉💉😷,"London, England","""Never seek revenge , rotten fruit will fall by itself""",2014-02-13 23:15:12,143,199,10255,False,2022-01-22 23:41:55,I will do all in my strength to not get sick with Covid so I don't pass Covid to anyone. No one deserves to suffer or die from this horrible yet preventable disease. #COVID https://t.co/Oub1SPb0fY,,Twitter for iPhone,False
Silverstan,"North West, England",Home of the unofficial Brexit Coin Medal,2017-10-10 18:42:22,4,26,12,False,2022-01-22 23:41:47,@janepot43556509 @RealDeniseWelch #Covid #COVIDIOTS #COVID19 Please good people wake the f up 🙏 https://t.co/oAcKuDs8hN,"['Covid', 'COVIDIOTS', 'COVID19']",Twitter for Android,False
J Lynn Fraser,Toronto,"Technical editor re research. Writer/Author. Writing thriller based in Ontario's North, doing research for 2 guidebooks I will write in '22. RT not endorsement.",2014-12-19 02:32:01,715,4378,14804,False,2022-01-22 23:41:44,"""#China's #Olympics aim to keep #COVID at bay w armpit #sensors #robots - Some #canteens will be partially staffed by automated cooking #machines including #robot arm that slowly descends from ceiling w plate of noodles to minimize human contact"" https://t.co/PX28l00fmy #tech","['China', 'Olympics', 'COVID', 'sensors', 'robots', 'canteens']",Twitter Web App,False
🇺🇸 #IAmTheNRA Rosenblum,United States,#2A defender #NRA Life Member. Former host of #CRFRadio. '10 GOP nominee FL House. #BlueLivesMatter #NeverForget911,2009-09-29 17:44:51,1363,1177,5907,False,2022-01-22 23:41:34,"@ASlavitt Masks didn't stop the spread in the states with the strictest mask mandates, NY &amp; CA. They have the worst #COVID numbers. #ThePandemicIsOver live your life.",,Twitter for Android,False
Lisa Marie Meadows,United States,Author/Nurse/Actor/Instagram lisamariemeadows/⚽️🚀📙#BLM A Wave Series -Pandemic Romance https://t.co/GTz4RazT1m https://t.co/aY0YQsOBC1,2018-08-24 05:05:50,7129,7770,9465,False,2022-01-22 23:41:29,"@OttawaCitizen A New light of hope has awakened on the horizon, as the world emerges from the pandemic. Will Shelby and Simon overcome this final obstacle? What will our world look like? We will have to wait and see.-A Third Wave-The Survival. #COVID #Omicron #booktwt 
https://t.co/7AHELPzbnY https://t.co/TgOZ9k3V0I",,Twitter Web App,False
enigma4ever 😷🌹💉#nycnurse #WearaMask #LongCovid,nyc,"Enigma4ever of WatergateSummer Blog,Mom to 6-6,RN, Cat Wrangler,DogCoddler,WishfulGardener,Buddhist, some cursing #resist #BLM #GoodTrouble",2009-06-17 20:56:44,7858,8519,368750,False,2022-01-22 23:41:29,3865 deaths Friday from #COVID...( 1/19/22) ..worse daily death rate since April 2020....💔💔💔,['COVID'],Twitter for Android,False
JeffGarlick,,Cubs Fan For LIFE/Son/Brother/Retail Grunt/Have I Mentioned Cubs Fan For LIFE Yet?,2022-01-01 23:27:49,7,9,197,False,2022-01-22 23:41:19,"This is a mask.

It is NOT an attack on freedom or liberty. It's not a political battle. Sadly it's not maditory even as #Omicron tears across the country. 

It WILL help prevent the spread of #Covid &amp; it COULD end the pandemic quicker if we'd ALL wear one! #WearAMask https://t.co/S4YHkk0eXF",,Twitter for Android,False
