user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
Dr J #FBPE 🌊💙💯🏴󠁧󠁢󠁳󠁣󠁴󠁿🇯🇴🇺🇸🇮🇪🇪🇺,Earth. 3rd Planet from Sun. ,Human. Free Thinker. Met Mandela. Personal. Family. Community. Funded Successful Drug to prevent Latent TB. Many Patents.,2020-04-09 00:34:23,5535,5846,40257,False,2022-01-30 23:53:31,"Maybe we better check the first 2 and the booster... Hmmm... HIV and AIDS... 

I think it is a cover up coming fast ? 

#COVID #PLANDEMIC #SHUTDOWN 
#BLACKBRIAR #JASONBOURNE https://t.co/Po2owVDoen",,Twitter Web App,False
Gail Adams,London,Head of Prof Services UNISON the largest union in the UK. Responsible for fitness to practice of health & social care members Tweets are in a personal capacity,2009-05-05 08:58:59,3577,1745,1407,False,2022-01-30 23:52:32,I will say it again mandatory #covid vaccine is wrong we will loose 1000s of NHS staff MPs get freedom of choice &amp; so should health workers #thinkagain,['covid'],Twitter for iPhone,False
TeluguStop.com,India,https://t.co/vz51VjQJYk is one stop source for Telugu News from Andhra Pradesh / Telangana & Around World.Please follow TeluguStop Media & Stay Tuned info@telugustop.com,2012-11-14 05:59:27,45261,805,586,True,2022-01-30 23:52:32,"Thousands protest vaccine mandates, Covid restrictions in Canada #Thousands #vaccine https://t.co/H37YngwODI #Canada #COvid #COVID19 #Jan #Thousands","['Thousands', 'vaccine']",dlvr.it,False
KellyR,"Houston, TX",Pediatric #Nurse Practitioner in #Houston raised in #RGV #sleep #startschoollater #vaccines #nursetwitter #baseballmom,2013-01-26 03:51:45,3757,4830,120408,False,2022-01-30 23:52:28,"The #mentalhealth of our kids is in serious crises, loss of family members, fears of loss, school closures… ⁦@NAPNAP⁩ ⁦@DrPeckPNP⁩ #COVID  https://t.co/Wk9L6IIriL",['mentalhealth'],Twitter for iPhone,False
frank-h,,#art #illustration #drawing #science #books #Canada,2008-10-04 16:48:53,1457,545,13028,False,2022-01-30 23:52:21,"Protest convoy had 'worst display of #Nazi propaganda in this country,' an anti-hate activist says: https://t.co/9vPHn5QOA0  #Canada #misinformation #covid #Ottawa",['Nazi'],Twitter Web App,False
terry k.,,,2015-10-08 14:22:26,28,420,1457,False,2022-01-30 23:52:07,"@TomFitton jail time should be coming for the doctors, media, administrators, politicians and big pharma execs who blocked life saving drugs for money and political power

#dems #jail #demslie #covid #covid19 #Ivermectin",,Twitter Web App,False
jess smitty,chicago,I love food and good wine.,2009-03-27 17:47:37,29,185,1065,False,2022-01-30 23:52:00,@OHAOregon @OregonGovBrown come on! Most are vaccinated &amp; Covid has become a bad flu. masks haven’t stopped the spread! Ppl still get it regardless of masking! A perm mask mandate is over the top &amp; pointless. #COVID19 #covid https://t.co/0WfyyFqDfK,,Twitter for iPhone,False
A Republic If You Can Keep It,"Vermont, USA","Mother, social worker, enraged citizen. She/her/hers. #Resistance #PostcardsToVoters #BlackLivesMatter #TransRightsAreHumanRights #GetVaccinated #N95sForAll",2012-07-09 21:20:36,3270,3962,104846,False,2022-01-30 23:51:50,"1/2 of ALL #Covid cases in #Vermont WERE IN LAST 2 MONTHS.

1 in 12 Vermonters in 2 months.

Now that cases are going down we can expect that @GovPhilScott @danfrench and #vtleg are going to memory hole what just happened and skate on.

We’ve improved NOTHING. 

#vtpoli #vted https://t.co/H5l2SbbzBJ","['Covid', 'Vermont']",Twitter for iPhone,False
💧andy good,Australia,"Fairtrade pioneer, entrepreneur, passionate believer in small scale farming and great tasting sustainable food. Enjoying new challenges. Fed up with plastic",2013-07-05 05:47:34,874,1427,6077,False,2022-01-30 23:51:26,"@drlizzieskinner Dear Dom, ‘pushing through’ looks like going nowhere if measured by #Covid Hospital Deaths KPI. #omicron brings push to standstill? @Dom_Perrottet",['Covid'],Twitter for iPhone,False
Bbhead,,An inquisitive mind,2021-09-12 14:20:36,10,31,283,False,2022-01-30 23:51:10,"Tiktok live streamer hacking and coughing whilst warming up by a fire in the middle of the road

#Covid 
#Superspreaders 
#FluTrucksKlan 
#Ottawa https://t.co/nLulVoHbNp",['Covid'],Twitter Web App,False
Sue Sibany-King,"Berkshire, UK",Free Palestine!🇵🇸🗝,2010-02-16 23:07:04,172,218,2763,False,2022-01-30 23:50:32,Seems we can say anything about #Covid and #vaccines as long as it doesn't question or opine differently to the widely accepted rhetoric. Hmmmm free speech  where did you go? https://t.co/3HAKCDBFHx,"['Covid', 'vaccines']",Twitter for Android,False
"ZZ, MD 小扎大夫","Washington, USA","Country doctor fighting for health equity with her Latinx patients. Academic, immigrant, backpacker. COVID task force. Dartmouth educated, Mayo Clinic trained.",2020-04-29 14:33:16,134,325,165,False,2022-01-30 23:49:53,"There is a global disaster, yet people still get intoxicated and get themselves admitted to the hospital. I would value life/health like it's the only thing I've got. I don't even speed any more. #Pandemie #COVID19 #COVID",,Twitter Web App,False
Simon Seldom,"Hull, England",Rules are for the obedience of fools and the guidance of wise men.,2010-05-21 10:20:02,510,863,6439,False,2022-01-30 23:48:52,"“The NHS has now issued an urgent warning to everyone who had Covid last month to come forward for their booster vaccines.” 

Hang on a mo! If you’ve had #covid you urgently need a booster to protect you from #covid! 🤦🏻‍♂️🤷🏻‍♂️ #wtf  https://t.co/w8CkJaOhuZ",,Twitter for iPhone,False
Op-edaily 🆘,,"Researcher, writer, skeptic, truth-seeker.",2014-07-26 01:38:39,140,79,1422,False,2022-01-30 23:48:51,"I think @PatrickMahomes got a #COVID #Booster during #halftime. 

Either that or he #threwit in a #rigged and #scripted game and the #NFL's actor (homie) isn't up to snuff yet and made it look too obvious. 

#Bengals #Chiefs #Mahomes #wtf #NFLPlayoffs #AFCChampionshipGame","['COVID', 'Booster', 'halftime', 'threwit', 'rigged']",Twitter Web App,False
Trey ❄️,,"✧˖°࿐Hi! I’m Trey, I use He/Him pronouns! I’m a huge fan of Taylor Swift, Ellen DeGeneres and iJustine, my Taylor Swift Acct is @treytaysversion! ☃️❄️",2018-11-09 20:11:14,85,280,7867,False,2022-01-30 23:48:40,"I will not, and never will support Spotify again. do better. #Spotifydeleted #COVID #GetVaccinated","['Spotifydeleted', 'COVID', 'GetVaccinated']",Twitter Web App,False
Steppin' Out Radio,,Steppin' Out Radio is a reality radio show featuring real people sharing their true stories of substance abuse & recovery from all addictions.,2011-03-08 05:03:42,631,720,221,False,2022-01-30 23:47:48,"It’s no wonder the best-selling, how-to book Full Recovery has become a go-to resource for both those in recovery and treatment professionals alike. Brian McAlister’s personal journey https://t.co/wyhkPygZgN #soberaf #recoveryposse #covid #odaat",,Revive Social App,False
Save the Children Australia News,Australia,"Breaking news, updates and announcements from Save the Children Australia abroad and at home. Contact media.team@savethechildren.org.au",2018-11-15 03:09:49,2023,2128,2273,True,2022-01-30 23:47:32,MEDIA RELEASE: New national poll shows #backtoschool is not enough to get children and young people back on track after two years of disruption - a comprehensive national #COVID recovery plan is needed. #auspol #ausvotes https://t.co/rVYuyLB7xr,['backtoschool'],Twitter Web App,False
Danny Bell,,,2016-04-04 05:17:13,24,311,189,False,2022-01-30 23:47:04,WATCH: Prof. Werner Bergholz Finds Nanoparticles and Ethylene Oxide on COVID Test Swabs https://t.co/8ziwan9wNT #covid #news #PCRTests,"['covid', 'news', 'PCRTests']",Twitter Web App,False
Daily Squib News,All major cities worldwide,CAUTION! The Daily Squib can be hazardous to your health!,2007-10-26 11:46:09,30536,81,836,False,2022-01-30 23:46:51,"It’s All Over, the Covid Nightmare Ends, Nothing to See Here Folks!

https://t.co/qtb2Pwherx

#covid #pandemic https://t.co/5zYevftYj0","['covid', 'pandemic']",The Social Jukebox,False
Kai Farmer,"Shrewsbury, England",Digital Communications and Marketing Lead - Shrewsbury and Telford Hospitals NHS Trust - All views my own,2010-01-23 17:10:02,42,178,84,False,2022-01-30 23:46:49,U-turn on mandatory Covid vaccinations for NHS and social care workers could be in the pipeline! #VCOD #NHS #COVID  https://t.co/EDwWV9n37T,"['VCOD', 'NHS', 'COVID']",Twitter for iPhone,False
Tyranasaurus Cervix! 🦖🦕🐉,UK,"#MeToo & #RapeinSchools 1998
#MixedWardsHell 07-08. I am white but adore this photo of Stormé (black mother, white father).",2018-06-26 21:42:44,4534,5000,33168,False,2022-01-30 23:46:46,"@_____Gem @HairyMonkeyGor1 @IndependentSage @theAliceRoberts Im an engineer, worked for Royal Academy of Engineering ya know serious Science, Technology, Engineering &amp; Maths &amp; the definite binary of biological sex: female &amp; male. #Covid refused to respect Gender Identity.",,Twitter Web App,False
Peter W Foster,"Suva, Fiji",Director of Communications at the Pacific Community. All opinions are my own. @spc_cps #SustDev #SIDS #ClimateChange,2010-12-06 23:50:57,927,178,2445,False,2022-01-30 23:45:01,"Traditional food production and food sharing practices help rural #Pacific Island communities weather #COVID-19 impacts, study finds | The Pacific Community https://t.co/v3D7EVqzBV","['Pacific', 'COVID']",Hootsuite Inc.,False
Israel Hayom English,Israel,Digital English edition of Israel's most widely read newspaper. RT/follow ≠ endorsement.  Subscribe to our daily newsletter: https://t.co/GtrxuBkgCm,2012-01-10 08:14:11,37595,729,29,True,2022-01-30 23:45:01,"Esther Pollard, wife of #JonathanPollard, hospitalized in serious condition with #COVID https://t.co/YGVgDmBhl0","['JonathanPollard', 'COVID']",Hootsuite Inc.,False
Sir Guy Fawkes,,"Add me on @GETTR. Twitter has deleted my accounts repeatedly and doesn't deserve our support. 

@LiuBaoBei1",2021-11-29 08:28:59,188,288,4210,False,2022-01-30 23:44:26,"How long are we going to watch this campaign, by the media, to scapegoat everything possible on the #VaccineSideEffects?

We all know it's happening

Yet we still don't seem to be able to take action against corrupt media outlets

Why not?

#COVID #COVID19 #China #CCP #CCPVirus https://t.co/PvvNxNfXNv",,Twitter for Android,False
Nathan Joyner,"Los Angeles, CA",Global Venture Captial and Private Equity/Business Development Professional,2015-05-18 20:52:29,47,11,793,False,2022-01-30 23:44:19,7 Day Confirmed Covid Cases per 1K Population by County For KS   2022-01-26:  Covid Insights From Our Analytics Team and USAFacts #datavisualization #datascience #analytics #health #data #covid19 #publichealth #covid #omicron #globalhealth https://t.co/d78joerc86,,smcapplication,False
frank-h,,#art #illustration #drawing #science #books #Canada,2008-10-04 16:48:53,1457,545,13028,False,2022-01-30 23:44:00,"Protest convoy highlights 'power of misinformation,' expert says: https://t.co/PmnR0rCarJ #Canada #covid #fakenews #misinformation #Ottawa","['Canada', 'covid', 'fakenews', 'misinformation', 'Ottawa']",Twitter Web App,False
Mike Reader ✡🌊😷🇺🇸,"Charlotte, N.C.","Democrat. #Vaxxed #Boosted

#BlackLivesMatter #StopAsianHate #JohnLewisVotingRightsAct #ForThePeopleAct #BuildBackBetter

Ex-journalist. שָׁלוֹם",2007-11-28 18:54:00,1959,4606,138477,False,2022-01-30 23:44:00,"The shifting definition of 'fully vaccinated' 

- @CDCgov hasn't changed its official definition, which doesn't include boosters. 

- @Pfizer chair prefers annual #Covid shots to boosters. 

- Vaccines for kids under 5 are in the pipeline.

https://t.co/55X4GPBaUM  #CovidVaccine",,TweetDeck,False
BrowseMode,Isle of Compliance ,“…our all-reaching consciousness eventually participates in an all-knowing infinite continuum…” Part of the control group. 😉 #HoldTheLine,2020-09-13 18:51:21,266,562,6105,False,2022-01-30 23:43:47,"ERM, HELLO?! I thought we were done with this????!! #Schools in #England reinstate #mask wearing rules as #Covid cases soar | Coronavirus | The #Guardian https://t.co/zfrIlXOCpB","['Schools', 'England', 'mask', 'Covid']",Twitter for iPhone,False
Barbara Malmet,"New York, NY","Artist, Activist, TriAthlete, Producer #GetInGoodTrouble🇺🇸",2014-11-14 05:18:51,273832,7355,1013794,False,2022-01-30 23:43:22,"A man who is need of a new heart took this same stand in Boston and was denied a transplant. Anyone who needs an organ, a heart, a kidney, will be taking massive amounts of drugs to prevent rejection. You would think they would go along with a #covid shot to prevent infection. https://t.co/pGE73KerNp",,Twitter for iPhone,False
Signaal Traader,somewhere in Montana,Focus - Conviction - Patience  -ALL posts on this Twitter account are for entertainment purposes only and are not financial advice. I am not a financial advisor,2021-02-07 00:12:06,196,125,2890,False,2022-01-30 23:43:15,#covid was an IQ test for many,['covid'],Twitter Web App,False
KC II,Vegas!,-Liberal- is not a bad word.,2010-11-24 21:34:13,85,226,3927,False,2022-01-30 23:42:19,No #Chiefs in the Superbowl... so that means #Covid is finally over! 😄😅🤣,"['Chiefs', 'Covid']",Twitter for Android,False
Nathan Joyner,"Los Angeles, CA",Global Venture Captial and Private Equity/Business Development Professional,2015-05-18 20:52:29,47,11,793,False,2022-01-30 23:42:18,7 Day Confirmed Covid Cases per 1K Population by County For IA   2022-01-26:  Covid Insights From Our Analytics Team and USAFacts #datavisualization #datascience #analytics #health #data #covid19 #publichealth #covid #omicron #globalhealth https://t.co/fJQA06M3YD,,smcapplication,False
Dick Savage,NYC,Advocate. Activist. Proud American/Zionist. #BLM #MAGA #AmericaFirst #FreeKurdistan #ImWithHer.He/Him/His. She/Her/Hers. Ze/Hir/Hir LOL 🥷🏽🇺🇸 🏳️‍🌈✊🏿🏳️‍⚧️,2021-08-30 01:18:38,42,757,615,False,2022-01-30 23:37:38,"@DrLeanaWen @PamelaBrownCNN @CNNnewsroom No one believes this anymore Wen. You do everything right, still get sick, still pass it on to others.  No more masks and no more mandates.  If someone wants to die of #Covid. That's their poor choice",,Twitter Web App,False
PirateN,Norway,Love your enemies.,2021-08-06 23:47:48,13,43,97,False,2022-01-30 23:37:24,This is not about health. Nowhere near. #covid #scam,"['covid', 'scam']",Twitter for Android,False
"Jamie Wright, MD, PhD","Seattle, WA","PGY1 Neurology Prelim | #brainsurgery survivor x15 |
Living with #hydrocephalus while working to become a #neurologist | #docswithdisabilities",2015-10-11 20:17:08,405,456,3417,False,2022-01-30 23:37:02,Now I don't know if my head hurts because of my shunt or because I have COVID... 🙄 #covid #hydrocephalus #shuntlife https://t.co/SiDjXjQv4O,"['covid', 'hydrocephalus', 'shuntlife']",Twitter for Android,False
Johns Hopkins ICTR,"Baltimore, MD",The Johns Hopkins Institute for Clinical & Translational Research is a recipient of NCATS funding provided by the CTSA program. ictr@jhmi.edu. #ICTR #NIH #CTSA,2013-09-26 12:50:50,1376,1169,4294,False,2022-01-30 23:37:00,"How do you spot #COVID-19 vaccine misinformation? Our colleagues @JohnsHopkinsSPH give us tips on addressing misinformation.

#CEAL_DMV https://t.co/Htq1ypbqc9",['COVID'],Twitter Web App,False
MJA,Sydney Australia,The Medical Journal of Australia (MJA) is Australia's leading peer-reviewed general medical journal. RTs are not endorsements. Also tweeting for MJA InSight.,2010-06-08 04:33:12,23083,2217,17350,False,2022-01-30 23:37:00,"The other long #COVID: impacts on health systems &amp; clinicians … Dr @JudkinsSimon, Dr @skyekinder, Dr Laksmi Govindasamy, Dr @gdtoogood &amp; @jasminemdavis96 write in InSight+ ""systemic impacts of #COVID19 may be even longer lasting than the illness itself"" https://t.co/nmzs8l34DB https://t.co/dPBRrY9SCf",['COVID'],TweetDeck,False
Robert Ursiny,"Essex Junction, Vermont, USA",#dad #gdad #son #brother #uncle #run #strudl #GO  #software #delphi #photo #music #guitar #cz #vt #eth #writer #cycle #aquarium #minitris,2009-02-12 15:54:13,474,353,198,False,2022-01-30 23:36:22,"T-Mobile to terminate corporate employees who aren't vaccinated by April.
https://t.co/HHzGVN06nj
@TMobile #vaccine #covid #phone","['vaccine', 'covid', 'phone']",Twitter for Android,False
EAGLE of APOC. 8:13,Alternate is @ArcturusRex4,"And I beheld: and heard the voice of an EAGLE flying through the midst of heaven saying with a loud voice: WOE, WOE, WOE to the inhabitants of the earth!",2009-03-16 14:52:54,869,3016,33579,False,2022-01-30 23:36:17,"#UrsulavonderLeyen ordered 
to reveal texts with #Pfizer CEO https://t.co/qOoWUTWKMd via 
@MailOnline
#RexArcturus: US companies producing #Covid 
related #genetherapy - marketers call #vaccine - 
are not liable for the millions who shall soon die!
#EU #KremlinRussia_E #TruNews","['UrsulavonderLeyen', 'Pfizer', 'RexArcturus']",Twitter Web App,False
Spocko,"SF, CA, USA, Section 0, 1, 1","Brain in a box. Half Human Half Vulcan. Just want a Piece of the Action. Blogger at Digby's Hullabaloo https://t.co/15u8nUHz4d, Crooks & Liars https://t.co/ag7ClYG41f",2010-05-28 19:20:56,2433,5000,21359,False,2022-01-30 23:36:07,".@JoyAnnReid Your absolute worst this week.
Missouri AG Eric Schmitt. He's running for Senate on #COVID lies that will kill school kids.
https://t.co/cv3oWNOrve
@stltoday's editorial board ""it’s crucial to shine a light on the danger he poses"" https://t.co/mMUJ9UthG1 @tonymess https://t.co/7DNKSUxBJS",['COVID'],Twitter Web App,False
ConsciousTrader,,Forex Swing Trader. Love for crypto. Not Financial advice #xrp maxi . toxic #xrp maxi 🇺🇸 🇩🇴,2021-05-15 22:47:40,126,520,20646,False,2022-01-30 23:35:26,"Smh this #covid cult got @SpotifyUSA caving in. If you don’t think this way, don’t think at all basically.... sounds like a recipe for disaster.",['covid'],Twitter for iPhone,False
Abdul Hadi Ismael Hamid,,"DBA Candidate, MBA, GDIB Summa Cum Laude, BBA (Honors), TEFL as well as various other teaching certificates.",2013-07-03 00:54:00,23,206,203,False,2022-01-30 23:35:21,"Keep all those guys outside of the city harassing people with Confederate flags, Swastikas, and other racist paraphernalia #abdulhadihamid #couttsbordercrossing #albertaprotest #antivax #antivaxx #antivaxxers #covid #covid19 #covid_19 https://t.co/6w79wu0usX",,Twitter Web App,False
#Trending #DOMAINNAMES #Crypto,#Mars,Promoting Trending #DomainNames #Crypto #Marijuana #NFT #NFTs #Altcoins #Bitcoin #CryptoArt #Doge #ShibaInu #MetaVerse,2012-05-12 04:04:23,5711,6201,7772,False,2022-01-30 23:35:06,"#Spotify makes public platform rules that cover #Covid -19 #misinformation . Will it be enough?
https://t.co/biE2ZG7X4j","['Spotify', 'Covid', 'misinformation']",Twitter for iPhone,False
"Yan Leyfman, MD",,"#Medicine #Photography 
Researcher in #Oncology #COVID19 #Immunotherapy #celltherapy #tcellrx #CART #genetx #bmtsm
About Me: https://t.co/PZG3UGoJrh & https://t.co/N0ksOsqkUj",2020-04-08 21:08:25,1311,1493,24009,False,2022-01-30 23:34:54,"Conclusion: While CT scans in long #COVID patients can be normal, the xenon MRI scans are not. Additionally, these patients have never been in hospital and did not have an acute severe illness when they had their #COVID19 infection.",['COVID'],Twitter Web App,False
"Jake Kane, MD, MS, FCCM, FAAP","Chicago, Illinois USA","#PEDSICU, #pediatrician, #tweetiatrician. #healthcare quality, #patientsafety expert, outcomes researcher. Tweets are my own opinion.",2011-12-11 00:57:07,3578,1000,11400,False,2022-01-30 23:33:49,"I will not apologize for blocking #COVID minimizers
I will not apologize for blocking #antivaxxers 
I will not apologize for blocking #science deniers
I will not apologize for blocking #misinformation spreaders

That’s my disclaimer
#tweetiatrician #somedocs #PedsICU #MasksWork","['COVID', 'antivaxxers']",Twitter for iPhone,False
#Forward to #ANewAmerica🧢,"Washington, DC","expert Uranian astrologer utilizing 9000 midpoint structures,requirG 100s of precise computer calculations. #2021cosmobiology #WhitePeople4BlackLives #YangGang",2018-01-31 12:05:46,1978,4975,27621,False,2022-01-30 23:33:48,"@mtaibbi
@kthalps
@AndrewYang
@Zach_Graumann &gt; please talk at some length to @ChrisLynnHedges who can talk from his experience
as a foreign correspondence
about th #FreedomConvoy2022 

Czech Republic: Protesters decry #COVID measures on 31st anniversary!

https://t.co/TbF6TX6vCg",,Twitter for iPhone,False
Lyle Ishida,"Cabin John, MD","Local Hawai'i boy. Father, husband, Hawaiian local plate lunch aficionado and Washington Wizards / Nats, Seattle Seahawks, and University of Hawai'i sports fan.",2009-05-31 05:31:02,175,381,9446,False,2022-01-30 23:33:07,"The @NFL has been such an elixir this season - when I'm stressed at work, worried about my family, and dealing with a #COVID infection myself. 

Such a high quality product and an amazing #Playoffs. I salute the league and every player.  👏 

Thanks guys
#NFL #ChampionshipSunday",,Twitter for Android,False
Ken Milne MD,Canada,"Remember to be skeptical of anything you learn, even if you heard it on the Skeptics’ Guide to EM. (he/him)",2012-07-11 22:10:32,22437,646,65537,False,2022-01-30 23:32:47,"@surviedtorture @SeamusORegan @JustinTrudeau @RosieBarton Get a #covid shot, I’m #BatDoc https://t.co/KXoQj1Er0O","['covid', 'BatDoc']",Twitter for iPhone,False
Betty Cardenas,"Texas, USA","President Trump’s Latinos Board, NRA committee, RNHA Past Chair, Married, Mother of 3, Pastor’s daughter & Unapologetic Pro-Life!",2009-12-09 19:31:36,998,662,1395,False,2022-01-30 23:32:29,This is a global attack against our freedoms. Lives have been lost.  Family members have been denied a proper burial for their loved ones. And our freedom of expression has been censored. Some people who need to be in prison for what they’ve done to the world. #Covid_19 #COVID https://t.co/rk2ag2rags,,Twitter for iPhone,False
ticker NEWS,International News Channel,"News for the World, Streaming Now 🌎 🖥 ticker NEWS covers the latest in global news, breaking news, business, media, & tech",2019-08-10 09:22:24,9220,779,3765,False,2022-01-30 23:31:17,#China is staying firm on its zero-covid policy and its rising #covid cases are putting a strain on the Beijing olympics #Beijing2022 https://t.co/j8pmptoGYu,"['China', 'covid']",Twitter Media Studio - LiveCut,False
Sandy Kendell 💉😷🇺🇸,"Texas, USA",Saved by God's Grace | Learner | Educator | Doctoral Student | #edu #txed #edtech #faith | Personal Twitter,2009-03-12 02:41:29,8549,1842,39952,False,2022-01-30 23:31:01,This is the last tweet in an interesting thread you should read if you believe natural immunity to #COVID is enough. #health https://t.co/OosdL1HgWW,['COVID'],Twitter Web App,False
SkepticalRaptor,"Los Angeles, CA",Stalking pseudoscience in the internet jungle. With a little hockey and baseball.,2011-11-25 18:49:29,6428,2180,5963,False,2022-01-30 23:30:04,"The @Novavax #COVID #vaccine — it's coming soon to the USA and Europe, and we should not ignore it, since it might be useful, especially for the vaccine-hesitant. https://t.co/YcVv45b59B #VaccinesWork #VaccinesSaveLives https://t.co/WPNZrRfMY4","['COVID', 'vaccine']",Buffer,False
imcallingyouout,"Queanbeyan, New South Wales",Intent on calling it as I see it!,2018-08-17 08:31:56,45,84,569,False,2022-01-30 23:29:35,"#auspol Returning soon, Season 3, the reality experiment taking Australia by storm … #COVID the vaccine rollout, starring @ScottMorrisonMP #Premiers #ChiefMinisters - politics, backflips, lies, human rights violations and more. Australia’s own adaptation of the #TrumanShow 😳☹️","['auspol', 'COVID']",Twitter for iPhone,False
